densite_population,densite_batiments,hauteur_moy_bat,distance_centre_km,taux_impermeabilisation,longitude,latitude,zone_id,classe_urbaine,wifi_density_probe
4394.085475420219,27.316133848911544,44.01683114180395,2.1430619856713986,0.47452119930988645,-6.051182507133624,34.894105984224055,5,Densite_moyenne,99.8842856494667
3251.1242578918677,47.37664946442621,10.793603281680502,4.783437324356799,0.8053302652396346,-6.081843636247522,34.830154519757784,20,DENSITE_MOYENNE,
4665.839368581246,56.6663976537568,23.288313018130196,3.1865652341363626,0.5924646869751873,-6.132757996608415,35.022265646452254,66,densite moyenne,
6241.453741534446,70.49921868956058,19.508702132775344,13.650632166209562,0.28756092707659664,-6.009675985843796,35.016155131689956,75,Faible_densite,
,,16.821259354184043,11.453920995854743,0.2967988436217972,-5.9740856332329155,34.78793582061203,62,Faible_densite,
3078.553477491475,62.08411527823685,21.560026292250264,10.210695859868089,0.6026443598769637,-5.934112578173623,35.099107726747235,32,Faible_densite,
6342.583067913305,17.005372621592976,20.179974106661373,4.654301530548001,0.9024276635531294,-6.121440748000653,35.06188609532543,58,DENSITE_MOYENNE,
4881.382512475236,39.616810581484245,23.41407568872588,2.9238626263431606,0.43126409125714904,-5.775672959548505,34.844508641373245,50,densite moyenne,
2654.946105317086,5.699871487031997,32.417167609500524,11.395476102235895,0.8521558766444137,-6.165120750896432,34.98471743107702,38,Zone_industrielle,
4476.608078454737,23.500914839121727,25.841275908647006,7.217537599010379,0.7730716899341594,-5.767173412616794,35.11016145823928,55,Densite_moyenne,
2665.848152937568,59.48462863347536,21.105912588727026,3.5416853718293115,0.38585933218018015,-6.242571938746248,35.01471787027064,28,Faible_densite,
2661.686443573538,79.38574635120226,,9.326005276846072,,-6.009437154091577,34.94774453809178,74,Faible_densite,
3935.532088818861,,29.09929595880336,0.7969410116490894,0.27638544885678706,-6.083316080941719,34.911169229040475,86,Densite_moyenne,
300.0,35.11207368959662,17.076015613966515,5.027319761098153,0.7463704503855801,-6.025438293034875,35.05519693332203,81,Faible_densite,
395.14790147654094,65.00532265243696,5.828795976470948,7.134643519948793,0.34975230353048503,-5.964667710509605,35.21955434915512,22,Faible_densite,
2487.882447366249,,8.121693190795344,2.389783344819207,0.4784531903790454,-6.0322054209936455,35.08587242023874,43,faible densite,
1676.903983398037,46.63137119767147,27.33232448315634,14.772886268344426,0.5762743745048187,-6.042576574849202,34.787372951818156,83,Faible_densite,
4065.645198671493,59.98034720222561,11.696875207470187,3.2946409959262914,0.744101126337622,-5.883638292293346,34.980342486741065,81,DENSITE_MOYENNE,
